Essai	Type	Methode	TailleStructure	Time	Memory
7	Vector	Remove	500000	0.15	68208	
8	Vector	Remove	500000	0.13	71284	
9	Vector	Remove	500000	0.13	64512	
10	Vector	Remove	500000	0.17	64200	
1	Vector	Get	1000	0.09	56196	
2	Vector	Get	1000	0.07	53952	
3	Vector	Get	1000	0.09	48964	
4	Vector	Get	1000	0.09	53908	
5	Vector	Get	1000	0.07	48840	
6	Vector	Get	1000	0.08	52916	
7	Vector	Get	1000	0.07	54172	
8	Vector	Get	1000	0.07	50868	
9	Vector	Get	1000	0.08	53896	
10	Vector	Get	1000	0.07	51188	
1	Vector	Get	5000	0.08	53956	
2	Vector	Get	5000	0.09	54972	
3	Vector	Get	5000	0.08	55404	
4	Vector	Get	5000	0.07	50624	
5	Vector	Get	5000	0.08	53068	
6	Vector	Get	5000	0.10	52264	
7	Vector	Get	5000	0.08	51276	
8	Vector	Get	5000	0.09	54204	
9	Vector	Get	5000	0.08	49040	
10	Vector	Get	5000	0.08	49104	
1	Vector	Get	10000	0.08	54048	
2	Vector	Get	10000	0.09	51020	
3	Vector	Get	10000	0.10	54024	
4	Vector	Get	10000	0.10	53952	
5	Vector	Get	10000	0.07	56320	
6	Vector	Get	10000	0.08	51076	
7	Vector	Get	10000	0.08	53972	
8	Vector	Get	10000	0.09	51312	
9	Vector	Get	10000	0.10	54152	
10	Vector	Get	10000	0.11	53892	
1	Vector	Get	50000	0.09	52500	
2	Vector	Get	50000	0.10	49212	
3	Vector	Get	50000	0.11	51396	
4	Vector	Get	50000	0.11	53352	
5	Vector	Get	50000	0.10	53400	
6	Vector	Get	50000	0.08	51464	
7	Vector	Get	50000	0.09	52708	
8	Vector	Get	50000	0.10	51384	
9	Vector	Get	50000	0.10	54284	
10	Vector	Get	50000	0.09	51636	
1	Vector	Get	100000	0.08	56780	
2	Vector	Get	100000	0.11	53116	
3	Vector	Get	100000	0.11	57356	
4	Vector	Get	100000	0.12	55604	
5	Vector	Get	100000	0.10	57604	
6	Vector	Get	100000	0.10	53584	
7	Vector	Get	100000	0.11	57776	
8	Vector	Get	100000	0.10	53392	
9	Vector	Get	100000	0.11	51612	
10	Vector	Get	100000	0.12	53788	
1	Vector	Get	250000	0.14	62616	
2	Vector	Get	250000	0.13	58080	
3	Vector	Get	250000	0.12	57588	
4	Vector	Get	250000	0.13	61792	
5	Vector	Get	250000	0.11	57632	
6	Vector	Get	250000	0.13	58668	
7	Vector	Get	250000	0.13	57932	
8	Vector	Get	250000	0.13	55988	
9	Vector	Get	250000	0.11	61872	
10	Vector	Get	250000	0.12	62736	
1	Vector	Get	500000	0.15	70228	
2	Vector	Get	500000	0.15	67132	
3	Vector	Get	500000	0.12	64316	
4	Vector	Get	500000	0.16	66188	
5	Vector	Get	500000	0.14	64072	
6	Vector	Get	500000	0.12	68196	
7	Vector	Get	500000	0.15	64300	
8	Vector	Get	500000	0.13	64104	
9	Vector	Get	500000	0.14	67048	
10	Vector	Get	500000	0.15	68240	
